100;0;sekund;
1000;0.01;sekund;
10000;0.54;sekund;
15000;1.17;sekund;
20000;1.97;sekund;
100;0;sekund;
100;0;sekund;
100;0;sekund;
100;0.01;sekund;
1000;0.01;sekund;
10000;0.01;sekund;
100000;0;sekund;
1000000;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
10;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
1;0;sekund;
10;0;sekund;
10;0;sekund;
10;0;sekund;
10;0;sekund;
100;0;sekund;
1000;0;sekund;
100;1.7e-06;sekund;
100;1.9e-06;sekund;
10;0;sekund;
100;1e-07;sekund;
1000;2e-07;sekund;
10000;2e-07;sekund;
10;0;sekund;
10;0;sekund;
100;2e-07;sekund;
1000;1e-07;sekund;
100;2e-07;sekund;
1000;1e-07;sekund;
10000;1e-07;sekund;
100;1e-07;sekund;
1000;1e-07;sekund;
10000;1e-07;sekund;
